Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
MANA: SHASTRA(Kannada),Class 33: How to Control our Indriyas(ಇಂದ್ರಿಯಗಳನ್ನು ನಿಗ್ರಹ ಮಾಡುವುದು ಹೇಗೆ...?),Ij3cNI26T-8, none
MANA: SHASTRA(Kannada),Class 34: Reasons for mind deterioration(ಮನಸ್ಸಿನ ಅಧಃಪಾಥಕ್ಕೆ ಕಾರಣಗಳು)-1,uUExjt000ik, none
MANA: SHASTRA(Kannada),Class 35: Reasons for mind deterioration(Part-2),2HVOdffGLKE, none
MANA: SHASTRA(Kannada),Class 36: Reasons for mind deterioration(Part-3),OSggajhyZYE, none
MANA: SHASTRA(Kannada),Class 37: Tatva-Viveka-Yoga_Summary,VjSJdR6MFkc, none
MANA: SHASTRA(Kannada),Class 38: Moksha - Chintane(Part-01),oMTNB3lt6uU, none
MANA: SHASTRA(Kannada),Class 39: Moksha - Chintane(Part-02),AOW5_iBB2uU, none
MANA: SHASTRA(Kannada),Class 40: Moksha - Chintane(Part-03),dT73Tq-mU1Y, none
MANA: SHASTRA(Kannada),Class 41: Moksha as per Judaism-Christianity-Islam-Jainism and Buddhism,mRKCjRVx180, none
MANA: SHASTRA(Kannada),Class 42: Moksha as per Shankaracharya(ಮಾಯಾವಾದ),szWXxWGYsZw, none
MANA: SHASTRA(Kannada),Class 43: Moksha as per Ramanujacharya(ಶರೀರವಾದ) & Bhaskaraacharya(ಭೇದಾಭೇದ),K0SDzF-Inb0, none
MANA: SHASTRA(Kannada),Class 44: Moksha as per Madwacharya,200KauOeH-E, none
MANA: SHASTRA(Kannada),Class 45: Swadharma Yoga(Jnaana Yoga vs Karma Yoga),ZveLzdTi2Gw, none
MANA: SHASTRA(Kannada),Class 46: ಕರ್ಮ ಅನಿವಾಯವಾದರೇ ಮೋಕ್ಷದ ಮಾರ್ಗ ಯಾವುದು?,10hKMJucQrg, none
MANA: SHASTRA(Kannada),Class 47: Swadharma Yoga(ಕರ್ತವ್ಯಕರ್ಮ ಮಾಡದೇ ಇದ್ದರೇ ಸಮಾಜದಮೇಲೆ ಆಗುವ ದುಷ್ಪರಿಣಾಮ),Je-019xgn9I, none
MANA: SHASTRA(Kannada),Class 48: Karma Yoga,QUNx1uQYl7w, none
MANA: SHASTRA(Kannada),Class 49: About Jeeva's LifeStyle; Samskara & Swabhaava,vWjc-S1-KVc, none
MANA: SHASTRA(Kannada),Class 51: Our Real enemies(ನಮ್ಮ ಕಡು ಶತ್ರು)....!,_TLY6OLMWq8, none
MANA: SHASTRA(Kannada),Class 52: Adhyaya 3 Summary & Moksha Dharma Parva(Introduction),gtxGyKSHu6U, none
MANA: SHASTRA(Kannada),Class 53: ನಾವು ಪ್ರೀತಿಸಿದ ವಸ್ತು/ವ್ಯಕ್ತಿ/ವಿಷಯ ನಮ್ಮಿಂದಿ ತಪ್ಪಿಸಿಹೋದಾಗ ದುಃಖ ಆಗತ್ತೆ” ಅದಕ್ಕೇನು ಮಾಡೋದು?,zW47mcbKmbc, none
MANA: SHASTRA(Kannada),Class 54: ನನ್ನ ಮನಸ್ಸು ನಾನು ಹೇಳಿದಂಗೆ ಯಾಕೆ ಕೇಳೊಲ್ಲ?,Tn1vZD_QgiI, none
MANA: SHASTRA(Kannada),Class 55: ಪ್ರೀತಿಯ ವ್ಯಕ್ತಿಯನ್ನ ಕಳ್ಕೊಂಡಾಗ ದುಃಖ ಆಗುತ್ತೆ. ಅದಕ್ಕೇನು ಮಾಡೋದು?(Question:5),uCqyPyoN1Rg, none
MANA: SHASTRA(Kannada),Class 56: How does happiness and sadness come?(ಹೇಗೆ ಬರುತ್ತೆ ಸುಖ-ದುಃಖ),GxLmYhe4fmM, none
MANA: SHASTRA(Kannada),Class 57: Theology of happiness(ಸುಖದ ಮೀಮಾಂಸೆ ),R1CMvDsXA1k, none
MANA: SHASTRA(Kannada),Class 58: Theology of happiness(ಪಿಂಗಳೋಪಾಖ್ಯಾನ & ಮೇಧಾವೀ ಕಥೆ ),IW8tD0a9jXY, none
MANA: SHASTRA(Kannada),Class 59: Problem & Remedy (ಸಮಸ್ಯೆ-ಪರಿಹಾರ),sEIY3i-qwNU, none
MANA: SHASTRA(Kannada),Class 60: Medhavi's Wisdom: Sanyasa Beyond Ashrama Boundaries,uYBbWQwpP2w, none
MANA: SHASTRA(Kannada),Class 61: Indra-Brahmana Conversation(ಬ್ರಾಹ್ಮಣನ ಕಥೆ),4j1dZlLDULE, none
MANA: SHASTRA(Kannada),MS62: Nirlepa Karma Yoga-1,OIuHXvX4aYs, none
MANA: SHASTRA(Kannada),MS63: About Varna Vyavasthe(ವರ್ಣ ವ್ಯವಸ್ಥೆ),zX9khfJ4iPg, none
MANA: SHASTRA(Kannada),MS64: VARNA SYSTEM - More Explanation,B3-r_V-ksw4, none
MANA: SHASTRA(Kannada),MS65: How can a person overcome stress-despair and disappointment in life?,aVKm908r3yE, none
